_row_id,Order_ID,y_true,y_pred,error,abs_error,risk_level,Traffic,Vehicle,Order_Period,Area,Category
42376,qjzw184742800,170,181.69626894280452,-11.696268942804522,11.696268942804522,low,Jam ,motorcycle ,Evening,Metropolitian ,Clothing
9788,zgdu330581471,60,84.64259971961778,-24.642599719617778,24.642599719617778,medium,Jam ,van,Evening,Metropolitian ,Apparel
14141,geop858602748,38,38.56643096933884,-0.566430969338839,0.566430969338839,low,Jam ,motorcycle ,Evening,Metropolitian ,Grocery
34377,psqt401935008,255,229.93730341589765,25.062696584102355,25.062696584102355,medium,Jam ,motorcycle ,Evening,Metropolitian ,Jewelry
2113,ocbg529160503,145,94.951100157296,50.048899842704,50.048899842704,high,Jam ,scooter ,Evening,Other,Sports
7925,tvpc165252510,220,201.2075180611573,18.792481938842712,18.792481938842712,medium,Jam ,scooter ,Evening,Metropolitian ,Shoes
25098,hzkr102840172,170,185.83001116315165,-15.830011163151653,15.830011163151653,medium,Jam ,scooter ,Evening,Urban ,Kitchen
25696,qanh567637196,110,125.765892357466,-15.765892357466,15.765892357466,medium,Jam ,motorcycle ,Evening,Urban ,Snacks
5784,kkni283102635,250,198.77894776559023,51.22105223440977,51.22105223440977,high,Jam ,motorcycle ,Evening,Metropolitian ,Toys
32111,yzod046149213,245,197.6288499446411,47.371150055358896,47.371150055358896,high,Jam ,scooter ,Evening,Urban ,Shoes
11778,jmld708166963,230,226.0266873148286,3.9733126851714076,3.9733126851714076,low,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors
39002,qpkr903508423,205,186.9097007392295,18.090299260770507,18.090299260770507,medium,Jam ,van,Evening,Metropolitian ,Toys
24307,pmpo208611067,120,120.36707327497052,-0.36707327497052233,0.36707327497052233,low,Jam ,motorcycle ,Evening,Urban ,Clothing
39736,cidk863738295,200,188.4363158874689,11.563684112531092,11.563684112531092,low,Jam ,scooter ,Evening,Metropolitian ,Jewelry
6137,txlj001636854,235,202.2292304983447,32.77076950165531,32.77076950165531,high,Jam ,scooter ,Evening,Metropolitian ,Clothing
25445,qpkz221631850,205,198.6743550003928,6.325644999607192,6.325644999607192,low,Jam ,motorcycle ,Evening,Urban ,Skincare
10238,fomw933786888,160,204.3885895051471,-44.38858950514711,44.38858950514711,high,Jam ,motorcycle ,Evening,Metropolitian ,Sports
26795,ompd077558272,100,110.03029920403988,-10.030299204039878,10.030299204039878,low,Jam ,van,Evening,Metropolitian ,Home
33866,jgpl972959252,235,204.5482435938524,30.45175640614761,30.45175640614761,high,Jam ,scooter ,Evening,Metropolitian ,Books
30401,rbqi609855581,160,183.38498572495035,-23.384985724950354,23.384985724950354,medium,Jam ,motorcycle ,Evening,Metropolitian ,Toys
23667,maso846757507,160,139.18954022570986,20.810459774290138,20.810459774290138,medium,Jam ,motorcycle ,Evening,Metropolitian ,Kitchen
41153,kugj561066709,175,188.7022436902202,-13.7022436902202,13.7022436902202,low,Jam ,motorcycle ,Evening,Metropolitian ,Toys
16195,sryz134866643,215,206.46245502413927,8.537544975860726,8.537544975860726,low,Jam ,scooter ,Evening,Metropolitian ,Sports
21250,mjps079763939,260,199.8185191232256,60.1814808767744,60.1814808767744,high,Jam ,motorcycle ,Evening,Metropolitian ,Home
11780,ydqp773751515,175,187.2645153314428,-12.264515331442794,12.264515331442794,low,Jam ,motorcycle ,Evening,Metropolitian ,Skincare
17672,btjl535066312,255,201.56632832017297,53.43367167982703,53.43367167982703,high,Jam ,motorcycle ,Evening,Metropolitian ,Kitchen
28528,gnbd941440009,145,188.87918450983895,-43.87918450983895,43.87918450983895,high,Jam ,motorcycle ,Evening,Metropolitian ,Cosmetics
33291,bqer393276375,150,197.9548620130214,-47.9548620130214,47.9548620130214,high,Jam ,motorcycle ,Evening,Metropolitian ,Skincare
17538,vrov890222278,240,203.772803459864,36.22719654013599,36.22719654013599,high,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors
8769,ljma738183350,215,132.03087555883133,82.96912444116867,82.96912444116867,high,Jam ,motorcycle ,Evening,Metropolitian ,Clothing
33565,stdz893622369,135,111.68877197212348,23.311228027876524,23.311228027876524,medium,Jam ,van,Evening,Metropolitian ,Electronics
20877,rlhr880330735,210,230.22173273023975,-20.22173273023975,20.22173273023975,medium,Jam ,motorcycle ,Evening,Metropolitian ,Toys
16177,exoe108496110,175,189.6202423427445,-14.62024234274449,14.62024234274449,low,Jam ,scooter ,Evening,Metropolitian ,Electronics
15870,jdfa645428385,90,110.94425038816968,-20.944250388169678,20.944250388169678,medium,Jam ,scooter ,Evening,Metropolitian ,Sports
10206,shiu839078778,75,108.15728931957108,-33.15728931957108,33.15728931957108,high,Jam ,motorcycle ,Evening,Metropolitian ,Clothing
2881,davf256821898,145,154.45072295116066,-9.450722951160657,9.450722951160657,low,Jam ,van,Evening,Metropolitian ,Apparel
19433,oaft169041246,205,184.89386601249475,20.106133987505245,20.106133987505245,medium,Jam ,scooter ,Evening,Metropolitian ,Books
27346,ooeh358967916,85,105.71914888560532,-20.71914888560532,20.71914888560532,medium,Jam ,scooter ,Evening,Urban ,Toys
23624,fipy901741197,190,200.9639021683649,-10.96390216836491,10.96390216836491,low,Jam ,motorcycle ,Evening,Metropolitian ,Jewelry
40683,ooae819196746,19,16.20231378479956,2.7976862152004394,2.7976862152004394,low,Jam ,scooter ,Evening,Urban ,Grocery
23124,nlbf359132461,245,203.19167385320935,41.80832614679065,41.80832614679065,high,Jam ,scooter ,Evening,Urban ,Outdoors
8892,rpdk448267522,200,200.87686108771905,-0.8768610877190497,0.8768610877190497,low,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors
21614,dvjg954952420,185,184.15143662740203,0.8485633725979653,0.8485633725979653,low,Jam ,scooter ,Evening,Urban ,Apparel
23566,whix931151348,170,108.0010112275782,61.9989887724218,61.9989887724218,high,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors
28961,atik561697569,175,153.239819383586,21.760180616414004,21.760180616414004,medium,Jam ,scooter ,Evening,Metropolitian ,Toys
1658,navo855178808,110,108.87455903275097,1.125440967249034,1.125440967249034,low,Jam ,motorcycle ,Evening,Metropolitian ,Apparel
16601,myug523061335,195,209.91437222933112,-14.914372229331121,14.914372229331121,low,Jam ,van,Evening,Metropolitian ,Shoes
40206,iqxb459300228,255,190.86042440462745,64.13957559537255,64.13957559537255,high,Jam ,motorcycle ,Evening,Metropolitian ,Snacks
5411,uhyh774080740,200,210.27661351380965,-10.27661351380965,10.27661351380965,low,Jam ,motorcycle ,Evening,Metropolitian ,Kitchen
36071,mfuy966207134,135,134.80907256999214,0.19092743000786072,0.19092743000786072,low,Jam ,motorcycle ,Evening,Metropolitian ,Pet Supplies
32661,lkal252496101,115,116.07430375433776,-1.0743037543377625,1.0743037543377625,low,Jam ,scooter ,Evening,Metropolitian ,Home
38552,aqij204077941,240,206.1637870366028,33.8362129633972,33.8362129633972,high,Jam ,scooter ,Evening,Metropolitian ,Pet Supplies
18034,jtbh622361710,160,178.90093271302413,-18.900932713024133,18.900932713024133,medium,Jam ,scooter ,Evening,Metropolitian ,Kitchen
37341,ausr094295014,135,109.0075708978358,25.992429102164195,25.992429102164195,medium,Jam ,scooter ,Evening,Metropolitian ,Clothing
1342,fppf827639521,255,200.24774398808464,54.752256011915364,54.752256011915364,high,Jam ,motorcycle ,Evening,Metropolitian ,Pet Supplies
37856,ltgq778430707,95,100.67257908796392,-5.672579087963925,5.672579087963925,low,Jam ,scooter ,Evening,Urban ,Books
21996,ygbp866274847,205,189.3935368816905,15.606463118309506,15.606463118309506,medium,Jam ,motorcycle ,Evening,Urban ,Clothing
11256,isfh323396368,180,191.3891284133261,-11.389128413326091,11.389128413326091,low,Jam ,motorcycle ,Evening,Metropolitian ,Skincare
8884,igba337104445,245,197.78515679345807,47.21484320654193,47.21484320654193,high,Jam ,scooter ,Evening,Metropolitian ,Skincare
20633,zycz349370916,210,185.5618338639877,24.438166136012313,24.438166136012313,medium,Jam ,scooter ,Evening,Metropolitian ,Kitchen
34612,lqvf916744398,225,226.379883513332,-1.379883513332004,1.379883513332004,low,Jam ,motorcycle ,Evening,Metropolitian ,Skincare
4734,lswi984607341,110,124.64328176211164,-14.643281762111641,14.643281762111641,low,Jam ,motorcycle ,Evening,Metropolitian ,Snacks
4471,tzcg297881822,255,229.06234419999384,25.937655800006155,25.937655800006155,medium,Jam ,motorcycle ,Evening,Metropolitian ,Cosmetics
22740,kxns139784853,115,134.205397569254,-19.20539756925399,19.20539756925399,medium,Jam ,motorcycle ,Evening,Metropolitian ,Apparel
26191,qmpj316851326,175,198.24955377955737,-23.249553779557374,23.249553779557374,medium,Jam ,motorcycle ,Evening,Urban ,Electronics
10935,ttfb644577848,120,92.2727594457636,27.727240554236403,27.727240554236403,medium,Jam ,scooter ,Evening,Other,Kitchen
16454,suoc120461423,245,209.87989116810368,35.12010883189632,35.12010883189632,high,Jam ,motorcycle ,Evening,Metropolitian ,Clothing
13359,tsbu713803893,70,108.4651360095476,-38.46513600954761,38.46513600954761,high,Jam ,motorcycle ,Evening,Metropolitian ,Electronics
1327,duwh849295111,245,195.6653217563837,49.33467824361631,49.33467824361631,high,Jam ,motorcycle ,Evening,Urban ,Shoes
22409,udyc589198117,190,197.31321955753955,-7.313219557539554,7.313219557539554,low,Jam ,motorcycle ,Evening,Metropolitian ,Kitchen
43288,uykb175258155,140,151.48758977129162,-11.487589771291624,11.487589771291624,low,Jam ,scooter ,Evening,Metropolitian ,Pet Supplies
25992,jujt031553958,90,128.400191872513,-38.400191872513005,38.400191872513005,high,Jam ,motorcycle ,Evening,Metropolitian ,Books
295,ljfy543933323,190,192.88412616958232,-2.8841261695823164,2.8841261695823164,low,Jam ,motorcycle ,Evening,Metropolitian ,Toys
20865,ixmt795354121,150,144.67932574725822,5.320674252741782,5.320674252741782,low,Jam ,scooter ,Evening,Urban ,Apparel
